0	56.0968	
1	64.3226	
2	68.8064	
3	76.4194	
4	80.1936	
5	78.6774	
6	73.1290	
7	68.2258	
8	64.8064	
9	65.9032	
10	73.2581	
11	81.1936	
12	87.1936	
13	90.8387	
14	92.7419	
15	93.0968	
16	86.8064	
17	80.9677	
18	70.8710	
19	61.6129	
20	57.9032	
21	54.2258	
22	55.7742	
23	54.4839	
24	55.5161	
25	56.9355	
26	60.2581	
27	61.8387	
28	64.5161	
29	66.3871	
30	68.8710	
31	69.8387	
32	70.7742	
33	72.1936	
34	69.3226	
35	70.4194	
36	71.0000	
37	69.2903	
38	65.3548	
39	59.2581	
40	51.2258	
41	47.5484	
42	48.8710	
43	50.4839	
44	53.1613	
45	54.8710	
46	54.5484	
47	57.6129	
48	59.8710	
49	62.4194	
50	62.8387	
51	59.0000	
52	52.6129	
53	50.0645	
54	53.5806	
55	60.0323	
56	59.5484	
57	54.3548	
58	50.8710	
59	48.1613	
60	45.3548	
61	41.2581	
62	38.2581	
63	37.8710	
64	41.5161	
65	44.0645	
66	47.8387	
67	49.0323	
68	48.8064	
69	48.2903	
70	49.6129	
71	54.6452	
72	60.4516	
73	67.2258	
74	75.0323	
75	80.4516	
76	79.2581	
77	74.4839	
78	66.4194	
79	62.1290	
80	57.8064	
81	57.7097	
82	57.6774	
83	58.3548	
84	59.9677	
85	64.0323	
86	71.3871	
87	79.8387	
88	83.1936	
89	81.7742	
90	79.0645	
91	76.9032	
92	75.3226	
93	76.2903	
94	76.9355	
95	75.4516	
96	75.2258	
97	73.3871	
98	74.4194	
99	74.5806	
100	78.4516	
101	80.8710	
102	83.7097	
103	84.9032	
104	85.2258	
105	84.8710	
106	81.8064	
107	73.5806	
108	63.8064	
109	60.3871	
110	62.9677	
111	65.0968	
112	63.8387	
113	60.4839	
114	56.5484	
115	51.7097	
116	48.2581	
117	45.8710	
118	43.0645	
119	40.7419	
120	42.6452	
121	49.6774	
122	55.6452	
123	57.1290	
124	56.6774	
125	53.6452	
126	51.5484	
127	48.8064	
128	48.2581	
129	49.8710	
130	53.4516	
131	57.4194	
132	60.6774	
133	62.3548	
134	65.8710	
135	71.0968	
136	76.2903	
137	77.3871	
138	74.7742	
139	66.2903	
140	55.5161	
141	48.2258	
142	46.3548	
143	48.1290	
144	49.7097	
145	52.7419	
146	55.0645	
147	59.4516	
148	65.2258	
149	74.8387	
150	81.1613	
151	83.8710	
152	79.0645	
153	74.0323	
154	68.0968	
155	63.3548	
156	58.2581	
157	56.7419	
158	57.9032	
159	60.9032	
160	66.4839	
161	68.2903	
162	66.6774	
163	63.8387	
164	59.8064	
