# Created by Octave 3.6.3, Fri Dec 14 13:28:52 2012 CET <awebster@mpl-compy>
# name: out
# type: matrix
# rows: 9999
# columns: 2
 -6.283185307179586 0.0002504427332315257
 -6.281928418740462 0.0004991243266692524
 -6.280671530301339 0.000740540251612443
 -6.279414641862215 0.0009693731134679946
 -6.278157753423091 0.001180644858634558
 -6.276900864983967 0.001369858510795938
 -6.275643976544844 0.001533124967291226
 -6.27438708810572 0.001667270876529785
 -6.273130199666596 0.001769924239517668
 -6.271873311227472 0.001839575110407667
 -6.270616422788349 0.001875609588403828
 -6.269359534349225 0.001878316168044924
 -6.268102645910101 0.001848864417736802
 -6.266845757470977 0.001789256856595064
 -6.265588869031854 0.001702255766754107
 -6.26433198059273 0.001591287483710027
 -6.263075092153606 0.00146032742369093
 -6.261818203714483 0.001313769710627236
 -6.260561315275359 0.001156285736915668
 -6.259304426836235 0.0009926763160327458
 -6.258047538397111 0.0008277222514191844
 -6.256790649957988 0.000666038150447674
 -6.255533761518864 0.0005119341557189678
 -6.25427687307974 0.0003692899546116269
 -6.253019984640616 0.0002414449743668024
 -6.251763096201493 0.0001311080900481466
 -6.250506207762369 4.028948770264593e-05
 -6.249249319323245 -2.974344101538675e-05
 -6.247992430884121 -7.848511657284231e-05
 -6.246735542444998 -0.0001061854910614662
 -6.245478654005874 -0.0001138191012705033
 -6.24422176556675 -0.0001030308969853816
 -6.242964877127626 -7.606103685147291e-05
 -6.241707988688503 -3.565151033786474e-05
 -6.240451100249379 1.506199567876663e-05
 -6.239194211810255 7.266913068621763e-05
 -6.237937323371131 0.000133610660829458
 -6.236680434932008 0.0001943066879768802
 -6.235423546492884 0.0002512829948842881
 -6.23416665805376 0.0003012913450676172
 -6.232909769614636 0.0003414198467034852
 -6.231652881175513 0.0003691898980840827
 -6.230395992736389 0.0003826367508417429
 -6.229139104297265 0.000380371337881869
 -6.227882215858141 0.0003616216913393293
 -6.226625327419018 0.0003262529980082783
 -6.225368438979894 0.0002747660795797613
 -6.22411155054077 0.0002082748160618445
 -6.222854662101646 0.0001284637280057023
 -6.221597773662523 3.752757293535493e-05
 -6.220340885223399 -6.190462790477685e-05
 -6.219083996784275 -0.0001668582520278021
 -6.217827108345151 -0.0002741111937443962
 -6.216570219906028 -0.0003802979713055572
 -6.215313331466904 -0.0004820162501990175
 -6.21405644302778 -0.0005759322294370726
 -6.212799554588656 -0.0006588814804258232
 -6.211542666149533 -0.0007279620849517865
 -6.210285777710409 -0.0007806172778638505
 -6.209028889271285 -0.0008147052456916851
 -6.207772000832161 -0.0008285542455845612
 -6.206515112393038 -0.0008210017700485113
 -6.205258223953914 -0.0007914170695434722
 -6.204001335514791 -0.0007397069352601285
 -6.202744447075666 -0.0006663052170533339
 -6.201487558636543 -0.000572147085678573
 -6.20023067019742 -0.0004586295265938314
 -6.198973781758296 -0.0003275599583452164
 -6.197716893319172 -0.0001810951900616872
 -6.196460004880048 -2.167316087053284e-05
 -6.195203116440925 0.0001480599661271532
 -6.193946228001801 0.0003253247518199001
