# Created by Octave 3.6.3, Fri Dec 14 13:32:54 2012 CET <awebster@mpl-compy>
# name: out
# type: matrix
# rows: 9999
# columns: 2
 -6.283185307179586 0.0001375431777865078
 -6.281928418740462 0.0002739553741375476
 -6.280671530301339 0.0004059174456289494
 -6.279414641862215 0.0005302323499223534
 -6.278157753423091 0.0006439223376242493
 -6.276900864983967 0.0007443191105078406
 -6.275643976544844 0.000829143989418627
 -6.27438708810572 0.0008965754754884773
 -6.273130199666596 0.00094530201801265
 -6.271873311227472 0.0009745583062895802
 -6.270616422788349 0.0009841439631016499
 -6.269359534349225 0.0009744241142609759
 -6.268102645910101 0.0009463119211509643
 -6.266845757470977 0.0009012337693746686
 -6.265588869031854 0.0008410783857512928
 -6.26433198059273 0.0007681316875997105
 -6.263075092153606 0.0006849996340458748
 -6.261818203714483 0.0005945217335540985
 -6.260561315275359 0.0004996781515339628
 -6.259304426836235 0.0004034935478551608
 -6.258047538397111 0.0003089408505164657
 -6.256790649957988 0.0002188481369456387
 -6.255533761518864 0.0001358116507764426
 -6.25427687307974 6.211773577896861e-05
 -6.253019984640616 -3.238704505172368e-07
 -6.251763096201493 -5.003335923330245e-05
 -6.250506207762369 -8.599924907050985e-05
 -6.249249319323245 -0.0001077008475682307
 -6.247992430884121 -0.0001151143211302893
 -6.246735542444998 -0.00010870247936307
 -6.245478654005874 -8.938893086999229e-05
 -6.24422176556675 -5.851778473022623e-05
 -6.242964877127626 -1.780053911147875e-05
 -6.241707988688503 3.074779981401595e-05
 -6.240451100249379 8.488100276739106e-05
 -6.239194211810255 0.0001421997063794513
 -6.237937323371131 0.0002002325682593029
 -6.236680434932008 0.0002565177101770259
 -6.235423546492884 0.0003086817294729517
 -6.23416665805376 0.0003545137107834352
 -6.232909769614636 0.0003920319081584441
 -6.231652881175513 0.0004195410817863221
 -6.230395992736389 0.0004356788502477772
 -6.229139104297265 0.0004394498437336093
 -6.227882215858141 0.0004302468994886886
 -6.226625327419018 0.0004078590104600628
 -6.225368438979894 0.0003724662046471132
 -6.22411155054077 0.000324621978782945
 -6.222854662101646 0.0002652243203544206
 -6.221597773662523 0.0001954767125408593
 -6.220340885223399 0.0001168408154660252
 -6.219083996784275 3.098274544735729e-05
 -6.217827108345151 -6.028497492292771e-05
 -6.216570219906028 -0.0001550636519526571
 -6.215313331466904 -0.0002514287066311348
 -6.21405644302778 -0.0003474879629818904
 -6.212799554588656 -0.0004414360489397425
 -6.211542666149533 -0.0005316032412653856
 -6.210285777710409 -0.0006164973597451889
 -6.209028889271285 -0.0006948376308110721
 -6.207772000832161 -0.000765579782196052
 -6.206515112393038 -0.0008279319852026186
 -6.205258223953914 -0.0008813616151478486
 -6.204001335514791 -0.0009255931399044609
 -6.202744447075666 -0.0009605977589219298
 -6.201487558636543 -0.0009865756894021612
 -6.20023067019742 -0.001003932223105238
 -6.198973781758296 -0.001013248849772738
 -6.197716893319172 -0.001015250856677212
 -6.196460004880048 -0.001010772866017839
 -6.195203116440925 -0.001000723763499766
 -6.193946228001801 -0.0009860524050272655
 -6.192689339562677 -0.0009677153693317741
 -6.191432451123553 -0.000946647859309538
 -6.19017556268443 -0.000923738652903613
 -6.188918674245306 -0.0008998097750504751
 -6.187661785806182 -0.0008756013164561824
 -6.186404897367058 -0.0008517615736555309
 -6.185148008927935 -0.0008288424388042962
 -6.183891120488811 -0.000807299737016064
 -6.182634232049687 -0.0007874980034033141
 -6.181377343610563 -0.0007697190186624904
 -6.18012045517144 -0.0007541732877015965
 -6.178863566732316 -0.0007410135545617094
 -6.177606678293192 -0.000730349401093983
 -6.176349789854068 -0.0007222619769669591
 -6.175092901414945 -0.0007168179528498289
 -6.173836012975821 -0.0007140818734065379
 -6.172579124536697 -0.0007141262071584088
 -6.171322236097573 -0.0007170385395362469
 -6.17006534765845 -0.000722925525849846
 -6.168808459219326 -0.0007319134045415379
 -6.167551570780202 -0.0007441450587772219
 -6.166294682341078 -0.000759773797856047
 -6.165037793901955 -0.0007789542010918796
 -6.163780905462831 -0.0008018305177220487
 -6.162524017023707 -0.000828523241528255
 -6.161267128584583 -0.0008591145723753061
 -6.16001024014546 -0.0008936335359835088
 -6.158753351706336 -0.000932041555476725
 -6.157496463267212 -0.000974219253769091
 -6.156239574828088 -0.001019955215814686
 -6.154982686388965 -0.001068937357131439
 -6.153725797949841 -0.001120747434051216
 -6.152468909510717 -0.001174859097413521
 -6.151212021071593 -0.001230639740789047
 -6.14995513263247 -0.001287356234253872
 -6.148698244193346 -0.001344184471671003
 -6.147441355754222 -0.001400222501082988
 -6.146184467315098 -0.001454506860449583
 -6.144927578875975 -0.001506031610877155
 -6.143670690436851 -0.001553769451838893
 -6.142413801997727 -0.001596694221760377
 -6.141156913558603 -0.001633804035555091
 -6.13990002511948 -0.001664144290087042
 -6.138643136680356 -0.001686829778709416
 -6.137386248241232 -0.001701065196537816
 -6.136129359802108 -0.001706163385957192
 -6.134872471362985 -0.001701560763933528
 -6.133615582923861 -0.001686829484429835
 -6.132358694484737 -0.001661686015467742
 -6.131101806045614 -0.001625995945604411
 -6.12984491760649 -0.0015797749730691
 -6.128588029167366 -0.001523186166549188
 -6.127331140728242 -0.001456533714564696
 -6.126074252289119 -0.001380253495185646
 -6.124817363849995 -0.001294900895722713
 -6.123560475410871 -0.001201136389220902
 -6.122303586971747 -0.001099709429206811
 -6.121046698532624 -0.0009914412544278237
 -6.1197898100935 -0.0008772072015054403
 -6.118532921654376 -0.0007579191059425458
 -6.117276033215252 -0.0006345083328027549
 -6.116019144776129 -0.0005079099201383459
 -6.114762256337005 -0.0003790482441990466
 -6.113505367897881 -0.0002488245295934155
 -6.112248479458757 -0.0001181064336912655
 -6.110991591019634 1.228016246011744e-05
 -6.10973470258051 0.0001415571209041569
 -6.108477814141386 0.0002689978270552998
 -6.107220925702262 0.0003939289226050753
 -6.105964037263139 0.0005157302019929442
 -6.104707148824015 0.0006338329417445078
 -6.103450260384891 0.0007477169746200745
 -6.102193371945767 0.0008569068472242633
 -6.100936483506644 0.0009609674100552448
 -6.09967959506752 0.00105949918351922
 -6.098422706628396 0.00115213382367502
 -6.097165818189272 0.001238529979338775
 -6.095908929750149 0.0013183697893198
 -6.094652041311025 0.001391356218660937
 -6.093395152871901 0.001457211377493307
 -6.092138264432777 0.001515675908947121
 -6.090881375993654 0.001566509475904668
 -6.08962448755453 0.001609492322786566
 -6.088367599115406 0.001644427839921208
 -6.087110710676282 0.001671146016374452
 -6.085853822237159 0.001689507633268601
 -6.084596933798035 0.001699409024535187
 -6.083340045358911 0.001700787215959041
 -6.082083156919787 0.001693625245794851
 -6.080826268480664 0.001677957470786625
 -6.07956938004154 0.001653874668878154
 -6.078312491602416 0.001621528763046471
 -6.077055603163292 0.001581137008165442
 -6.075798714724169 0.00153298550281129
 -6.074541826285045 0.001477431909424452
 -6.073284937845921 0.001414907287426
 -6.072028049406797 0.001345916963827172
 -6.070771160967674 0.001271040383790746
 -6.06951427252855 0.001190929898571474
 -6.068257384089426 0.0011063084603285
 -6.067000495650302 0.001017966202555864
 -6.065743607211179 0.0009267558914548573
 -6.064486718772055 0.0008335872385332285
 -6.063229830332931 0.0007394200686348576
 -6.061972941893807 0.000645256341810088
 -6.060716053454684 0.0005521310328374193
 -6.05945916501556 0.0004611018800694312
 -6.058202276576436 0.0003732380265423348
 -6.056945388137312 0.0002896075917916328
 -6.055688499698189 0.0002112642331360275
 -6.054431611259065 0.0001392327805648039
 -6.053174722819941 7.449405977095143e-05
 -6.051917834380817 1.796905262342522e-05
 -6.050660945941694 -2.949741706527273e-05
 -6.04940405750257 -6.715324386759991e-05
