# Created by Octave 3.6.3, Fri Dec 14 13:59:10 2012 CET <awebster@mpl-compy>
# name: out
# type: matrix
# rows: 9999
# columns: 2
 -6.283185307179586 0.0002417262735503965
 -6.281928418740462 0.0004829801574605451
 -6.280671530301339 0.0007223793256875961
 -6.279414641862215 0.0009585540714415183
 -6.278157753423091 0.001190157667765483
 -6.276900864983967 0.001415876535261655
 -6.275643976544844 0.001634440129266599
 -6.27438708810572 0.001844630461327951
 -6.273130199666596 0.002045291173181126
 -6.271873311227472 0.002235336085580365
 -6.270616422788349 0.002413757149099068
 -6.269359534349225 0.002579631729566136
 -6.268102645910101 0.002732129166874254
 -6.266845757470977 0.002870516552597238
 -6.265588869031854 0.002994163679007962
 -6.26433198059273 0.003102547119644924
 -6.263075092153606 0.00319525340951168
 -6.261818203714483 0.003271981301305286
 -6.260561315275359 0.003332543082301165
 -6.259304426836235 0.003376864945176268
 -6.258047538397111 0.003404986414579344
 -6.256790649957988 0.003417058839747292
 -6.255533761518864 0.003413342971821979
 -6.25427687307974 0.003394205652789419
 -6.253019984640616 0.00336011565073676
 -6.251763096201493 0.003311638683747919
 -6.250506207762369 0.003249431681766974
 -6.249249319323245 0.003174236342505458
 -6.247992430884121 0.003086872043300286
 -6.246735542444998 0.002988228176533979
 -6.245478654005874 0.002879255980790562
 -6.24422176556675 0.002760959944093138
 -6.242964877127626 0.002634388858920973
 -6.241707988688503 0.002500626611223859
 -6.240451100249379 0.00236078278748927
 -6.239194211810255 0.00221598318484729
 -6.237937323371131 0.002067360309440266
 -6.236680434932008 0.001916043947665177
 -6.235423546492884 0.001763151893401785
 -6.23416665805376 0.00160978091228086
 -6.232909769614636 0.001456998021082312
 -6.231652881175513 0.001305832156618096
 -6.230395992736389 0.001157266304352567
 -6.229139104297265 0.001012230151869019
 -6.227882215858141 0.0008715933269113061
 -6.226625327419018 0.0007361592736820502
 -6.225368438979894 0.0006066598145854364
 -6.22411155054077 0.0004837504377183276
 -6.222854662101646 0.0003680063433122672
 -6.221597773662523 0.0002599192747924376
 -6.220340885223399 0.0001598951525988461
 -6.219083996784275 6.825252120656883e-05
 -6.217827108345151 -1.477818798488641e-05
 -6.216570219906028 -8.905458282043172e-05
 -6.215313331466904 -0.0001545214381325631
 -6.21405644302778 -0.0002112090448550094
 -6.212799554588656 -0.0002592308074328602
 -6.211542666149533 -0.0002987801231255522
 -6.210285777710409 -0.0003301265831486787
 -6.209028889271285 -0.0003536115414784719
 -6.207772000832161 -0.0003696431024797549
 -6.206515112393038 -0.0003786905833489824
 -6.205258223953914 -0.000381278511575139
 -6.204001335514791 -0.0003779802211161677
 -6.202744447075666 -0.0003694111140249738
 -6.201487558636543 -0.0003562216563476546
 -6.20023067019742 -0.0003390901787812236
 -6.198973781758296 -0.0003187155532784403
 -6.197716893319172 -0.0002958098170013861
 -6.196460004880048 -0.0002710908143853457
 -6.195203116440925 -0.0002452749268595608
 -6.193946228001801 -0.0002190699578297551
 -6.192689339562677 -0.0001931682379743001
 -6.191432451123553 -0.0001682400127120458
 -6.19017556268443 -0.0001449271700744921
 -6.188918674245306 -0.0001238373628608815
 -6.187661785806182 -0.0001055385743494081
 -6.186404897367058 -9.055417163422508e-05
 -6.185148008927935 -7.935848523667457e-05
 -6.183891120488811 -7.23729478635269e-05
 -6.182634232049687 -6.996281911309126e-05
 -6.181377343610563 -7.243451682472308e-05
 -6.18012045517144 -8.003356943285314e-05
 -6.178863566732316 -9.294319733775057e-05
 -6.177606678293192 -0.000111283525087552
 -6.176349789854068 -0.0001351114198073397
 -6.175092901414945 -0.0001644209453968985
 -6.173836012975821 -0.0001991444160229333
 -6.172579124536697 -0.0002391540269153013
 -6.171322236097573 -0.0002842640351928453
 -6.17006534765845 -0.0003342334585047681
 -6.168808459219326 -0.0003887692547945574
 -6.167551570780202 -0.0004475299424733027
 -6.166294682341078 -0.0005101296167105449
 -6.165037793901955 -0.0005761423144716338
 -6.163780905462831 -0.000645106678539408
 -6.162524017023707 -0.0007165308686762653
 -6.161267128584583 -0.000789897666806128
 -6.16001024014546 -0.0008646697222086766
 -6.158753351706336 -0.0009402948825490771
 -6.157496463267212 -0.001016211556840148
 -6.156239574828088 -0.001091854057273444
 -6.154982686388965 -0.001166657868342161
 -6.153725797949841 -0.001240064793499167
 -6.152468909510717 -0.001311527932014495
 -6.151212021071593 -0.001380516441493228
 -6.14995513263247 -0.001446520044738256
 -6.148698244193346 -0.001509053243250335
 -6.147441355754222 -0.001567659203523122
 -6.146184467315098 -0.001621913286474798
 -6.144927578875975 -0.001671426194743352
 -6.143670690436851 -0.001715846717109878
 -6.142413801997727 -0.001754864053996589
 -6.141156913558603 -0.001788209712681356
 -6.13990002511948 -0.001815658965682186
 -6.138643136680356 -0.001837031870304691
 -6.137386248241232 -0.001852193852144858
 -6.136129359802108 -0.001861055859601148
 -6.134872471362985 -0.001863574100844283
 -6.133615582923861 -0.001859749378691062
 -6.132358694484737 -0.001849626042565963
 -6.131101806045614 -0.001833290580235276
 -6.12984491760649 -0.001810869875096605
 -6.128588029167366 -0.001782529157568908
 -6.127331140728242 -0.001748469681471707
 -6.126074252289119 -0.001708926158283731
 -6.124817363849995 -0.00166416398365251
 -6.123560475410871 -0.001614476291717538
 -6.122303586971747 -0.001560180873395591
 -6.121046698532624 -0.001501616995114139
 -6.1197898100935 -0.001439142154271062
 -6.118532921654376 -0.001373128807119099
 -6.117276033215252 -0.001303961103837156
 -6.116019144776129 -0.00123203166415364
 -6.114762256337005 -0.001157738425279688
 -6.113505367897881 -0.001081481591810933
 -6.112248479458757 -0.00100366071505007
 -6.110991591019634 -0.000924671926575979
 -6.10973470258051 -0.0008449053481674635
 -6.108477814141386 -0.0007647426972371259
 -6.107220925702262 -0.0006845551038390061
 -6.105964037263139 -0.0006047011521129119
 -6.104707148824015 -0.0005255251558539486
 -6.103450260384891 -0.0004473556745624743
 -6.102193371945767 -0.0003705042731359383
 -6.100936483506644 -0.0002952645252285472
 -6.09967959506752 -0.0002219112571658046
 -6.098422706628396 -0.0001507000264300973
 -6.097165818189272 -8.186682597326547e-05
 -6.095908929750149 -1.562800299590262e-05
 -6.094652041311025 4.781962141273278e-05
 -6.093395152871901 0.0001082984475181149
 -6.092138264432777 0.0001656496245914584
 -6.090881375993654 0.0002197324300185241
 -6.08962448755453 0.0002704235201046309
 -6.088367599115406 0.0003176160737460843
 -6.087110710676282 0.0003612188506705139
 -6.085853822237159 0.000401155186318708
 -6.084596933798035 0.000437361945238508
 -6.083340045358911 0.0004697884546980419
 -6.082083156919787 0.0004983954393989144
 -6.080826268480664 0.000523153977385468
 -6.07956938004154 0.0005440444960043967
 -6.078312491602416 0.0005610558253215238
 -6.077055603163292 0.0005741843248461215
 -6.075798714724169 0.0005834330974659319
 -6.074541826285045 0.0005888113026530268
 -6.073284937845921 0.0005903335787217429
 -6.072028049406797 0.00058801958185216
 -6.070771160967674 0.0005818936471924733
 -6.06951427252855 0.0005719845751062879
 -6.068257384089426 0.0005583255432516031
 -6.067000495650302 0.0005409541429528834
 -6.065743607211179 0.0005199125360238644
 -6.064486718772055 0.0004952477260994467
 -6.063229830332931 0.0004670119365147473
 -6.061972941893807 0.000435263084864349
 -6.060716053454684 0.0004000653426909386
 -6.05945916501556 0.0003614897672193
 -6.058202276576436 0.0003196149907461989
 -6.056945388137312 0.0002745279522123922
 -6.055688499698189 0.0002263246546389822
 -6.054431611259065 0.0001751109314709091
 -6.053174722819941 0.0001210032045938382
 -6.051917834380817 6.412921659973905e-05
 -6.050660945941694 4.6287200738518e-06
 -6.04940405750257 -5.734589289120145e-05
 -6.048147169063446 -0.0001216290371991559
 -6.046890280624322 -0.0001880414725471618
 -6.045633392185199 -0.0002563899468004435
 -6.044376503746076 -0.0003264669578859489
 -6.043119615306951 -0.0003980506457125869
 -6.041862726867828 -0.0004709048240127266
 -6.040605838428704 -0.0005447791602297419
 -6.039348949989581 -0.00061940950972097
 -6.038092061550457 -0.0006945184086185896
 -6.036835173111333 -0.0007698157276346388
 -6.035578284672209 -0.0008449994871159628
 -6.034321396233086 -0.0009197568315495508
 -6.033064507793962 -0.0009937651597565558
 -6.031807619354838 -0.00106669340500317
 -6.030550730915714 -0.001138203457351359
 -6.029293842476591 -0.001207951718810666
 -6.028036954037467 -0.001275590780102567
 -6.026780065598343 -0.001340771206357414
 -6.025523177159219 -0.001403143417651803
 -6.024266288720096 -0.001462359649102587
 -6.023009400280972 -0.001518075974136481
 -6.021752511841848 -0.001569954373826684
 -6.020495623402724 -0.001617664834462632
 -6.019238734963601 -0.00166088745518252
 -6.017981846524477 -0.001699314547219443
 -6.016724958085353 -0.001732652706390734
 -6.015468069646229 -0.001760624840621461
 -6.014211181207106 -0.00178297213473
 -6.012954292767982 -0.001799455935331937
 -6.011697404328858 -0.001809859539481155
 -6.010440515889734 -0.001813989871622081
 -6.009183627450611 -0.001811679034629592
 -6.007926739011487 -0.001802785721793653
 -6.006669850572363 -0.001787196478179473
 -6.005412962133239 -0.001764826801095157
 -6.004156073694116 -0.001735622071051318
 -6.002899185254992 -0.001699558306129913
 -6.001642296815868 -0.001656642734382181
 -6.000385408376745 -0.001606914180481316
 -5.999128519937621 -0.001550443264493382
 -5.997871631498497 -0.001487332412352654
 -5.996614743059373 -0.001417715679043082
 -5.99535785462025 -0.001341758387139977
 -5.994100966181126 -0.001259656584719235
 -5.992844077742002 -0.001171636328008031
 -5.991587189302878 -0.001077952795394059
 -5.990330300863755 -0.0009788892404646579
