 3.40569416e+00 0.00000000e+00 2.60773642e-01 2.47923802e+00	 3.40569416e+00 0.00000000e+00 8.56522743e-02 2.47923802e+00
 1.36874782e+01 -1.71988627e-01 1.57785828e-01 2.70880174e+00	 1.36874782e+01 1.44882752e-01 1.12198093e-01 2.70880174e+00
 2.31261475e+01 -2.65945135e-01 8.52849966e-02 2.68965703e+00	 2.31261475e+01 2.13531272e-01 1.20998929e-01 2.68965703e+00
 3.25094261e+01 -3.70626532e-01 1.01450260e-01 2.72500820e+00	 3.25094261e+01 2.54863562e-01 1.12117425e-01 2.72500820e+00
 4.18827191e+01 -5.12456219e-01 1.77398469e-01 2.70990289e+00	 4.18827191e+01 3.01221419e-01 9.05585522e-02 2.70990289e+00
 5.11610560e+01 -6.53584494e-01 2.63161616e-01 2.70192619e+00	 5.11610560e+01 3.36076407e-01 7.40972793e-02 2.70192619e+00
 6.04465313e+01 -6.83584758e-01 2.59784068e-01 2.68388664e+00	 6.04465313e+01 3.95328436e-01 3.55960172e-02 2.68388664e+00
 6.99700703e+01 -6.27873055e-01 2.39298582e-01 2.81772927e+00	 6.99700703e+01 4.19245768e-01 3.35797525e-02 2.81772927e+00
 7.94627080e+01 -5.45351717e-01 2.15575583e-01 2.59359787e+00	 7.94627080e+01 4.43573774e-01 2.25414555e-02 2.59359787e+00
 9.03571922e+01 -1.54951479e-01 2.32201300e-01 1.94010633e+00	 9.03571922e+01 4.74702617e-01 1.26240465e-02 1.94010633e+00
