 5.00000000e-04 -5.00968287e+02 5.07102364e+02
 1.00000000e-03 -7.11050530e+02 7.17319901e+02
 1.50000000e-03 -8.72310610e+02 8.78600065e+02
 2.00000000e-03 -1.00831410e+03 1.01450743e+03
 2.50000000e-03 -1.12806050e+03 1.13412107e+03
 3.00000000e-03 -1.23607127e+03 1.24230258e+03
 3.50000000e-03 -1.33520696e+03 1.34212774e+03
 4.00000000e-03 -1.42757437e+03 1.43557383e+03
 4.50000000e-03 -1.51477764e+03 1.52385150e+03
 5.00000000e-03 -1.59800256e+03 1.60766032e+03
 5.50000000e-03 -1.67808194e+03 1.68738874e+03
 6.00000000e-03 -1.75556576e+03 1.76325573e+03
 6.50000000e-03 -1.83079019e+03 1.83540201e+03
 7.00000000e-03 -1.90393831e+03 1.90394401e+03
 7.50000000e-03 -1.97508968e+03 1.96900258e+03
 8.00000000e-03 -2.04425852e+03 2.03071590e+03
 8.50000000e-03 -2.11142183e+03 2.08924300e+03
 9.00000000e-03 -2.17653934e+03 2.14476210e+03
 9.50000000e-03 -2.23956707e+03 2.19746646e+03
 1.00000000e-02 -2.30046606e+03 2.24755933e+03
