% Model,suppliment-workingmodel-viscolayer.mph
% Version,COMSOL 4.3.0.233
% Date,"May 21 2014, 15:25"
% Table,Probe Table 12 - 
% liquid_viscosity,"Total stress, y component, Boundary Probe 1","Velocity field, y component, Boundary Probe 2",distance from sphere to surface, Global Variable Probe 1
5.0E-4,-0.8702056753058567+0.88086379629178i,5.242020383135412E-10+3.1415926307330934E-4i,5.0E-7-2.958039891549808E-6i
0.0010,-1.2351295451096627+1.2460218304709054i,2.624511541958892E-10+3.141592645298646E-4i,5.0E-7-2.958039891549808E-6i
0.0015,-1.515246618938937+1.5261734139677685i,1.7507369585745402E-10+3.1415926490073465E-4i,5.0E-7-2.958039891549808E-6i
0.0020,-1.7514916407419308+1.7622512476635004i,1.3135350542733667E-10+3.1415926505818796E-4i,5.0E-7-2.958039891549808E-6i
0.0025,-1.9594972510009279+1.9700260765793998i,1.0510941187961067E-10+3.141592651420622E-4i,5.0E-7-2.958039891549808E-6i
0.0030,-2.1471174567882847+2.1579427631310466i,8.760764488037831E-11+3.1415926519297386E-4i,5.0E-7-2.958039891549808E-6i
0.0035,-2.3193211880670006+2.3313440448890734i,7.510325801630595E-11+3.1415926522661037E-4i,5.0E-7-2.958039891549808E-6i
0.0040,-2.4797680646116356+2.4936645751739523i,6.572309675559898E-11+3.1415926525018493E-4i,5.0E-7-2.958039891549808E-6i
0.0045000000000000005,-2.63124457502169+2.6470073007451727i,5.842622845800886E-11+3.1415926526744456E-4i,5.0E-7-2.958039891549808E-6i
0.005000000000000001,-2.7758104789085687+2.792587420097605i,5.2587948906352176E-11+3.141592652805164E-4i,5.0E-7-2.958039891549808E-6i
0.0055,-2.9149124071847132+2.9310796944345054i,4.781063865953426E-11+3.141592652906917E-4i,5.0E-7-2.958039891549808E-6i
0.0060,-3.0495057334387408+3.0628644575453827i,4.382916997301996E-11+3.141592652987947E-4i,5.0E-7-2.958039891549808E-6i
0.006500000000000001,-3.1801743691474065+3.188186164629062i,4.045996273129655E-11+3.141592653053747E-4i,5.0E-7-2.958039891549808E-6i
0.007000000000000001,-3.307236352428053+3.3072470485157743i,3.7571868864022156E-11+3.1415926531080913E-4i,5.0E-7-2.958039891549808E-6i
0.0075,-3.430829891678855+3.4202570435230863i,3.506870037770512E-11+3.141592653153642E-4i,5.0E-7-2.958039891549808E-6i
0.0080,-3.550979666751804+3.527456182309273i,3.2878307804970825E-11+3.141592653192312E-4i,5.0E-7-2.958039891549808E-6i
0.0085,-3.6676457238929787+3.629120695814023i,3.0945512333097614E-11+3.141592653225526E-4i,5.0E-7-2.958039891549808E-6i
0.009000000000000001,-3.7807581267072554+3.725560157317617i,2.922739325316766E-11+3.1415926532543426E-4i,5.0E-7-2.958039891549808E-6i
0.009500000000000001,-3.8902404869348177+3.81711027410387i,2.7690063164272284E-11+3.141592653279571E-4i,5.0E-7-2.958039891549808E-6i
0.01,-3.996025104718993+3.9041241030396567i,2.630641033709187E-11+3.14159265330183E-4i,5.0E-7-2.958039891549808E-6i
