 3.57305704e+00 -2.86416475e-01 2.74870043e-01 2.51030370e+00	 3.57305704e+00 2.19387582e-02 2.97289322e-02 2.51030370e+00
 1.44218001e+01 -1.28628115e+00 3.88394405e-01 2.81410371e+00	 1.44218001e+01 1.40793989e-02 6.03598808e-02 2.81410371e+00
 2.37599589e+01 -2.00944894e+00 5.35666549e-01 2.83589226e+00	 2.37599589e+01 -1.95448298e-02 6.47870080e-02 2.83589226e+00
 3.35154683e+01 -2.86084192e+00 6.12879403e-01 2.79362947e+00	 3.35154683e+01 -5.39933784e-02 1.02312181e-01 2.79362947e+00
 4.26976801e+01 -3.53505383e+00 2.97400435e-01 2.69206434e+00	 4.26976801e+01 -3.33958949e-02 7.20974493e-02 2.69206434e+00
 5.21750800e+01 -3.98933949e+00 3.41389232e-01 2.77679669e+00	 5.21750800e+01 -1.14693768e-02 4.21884371e-02 2.77679669e+00
 6.17903177e+01 -4.65053849e+00 5.74504122e-01 2.75993236e+00	 6.17903177e+01 2.08899364e-03 3.70634101e-02 2.75993236e+00
 7.13029725e+01 -5.22742667e+00 8.60122510e-01 2.77257231e+00	 7.13029725e+01 3.41292908e-03 5.57618730e-02 2.77257231e+00
 8.11229118e+01 -6.43990334e+00 1.67673867e-01 2.72082400e+00	 8.11229118e+01 2.92222665e-02 2.68340330e-02 2.72082400e+00
 9.16548508e+01 -6.01362331e+00 9.45714063e-02 2.22631004e+00	 9.16548508e+01 3.43970939e-02 1.75303786e-02 2.22631004e+00
