 3.36940772e+00 2.10575264e-01 2.92392359e-01 2.44176481e+00	 3.36940772e+00 2.96917561e-02 2.41060918e-02 2.44176481e+00
 1.35471689e+01 4.82910096e-01 5.41771248e-01 2.67461094e+00	 1.35471689e+01 6.13580746e-02 3.66180649e-02 2.67461094e+00
 2.28853925e+01 7.98898261e-01 4.84043302e-01 2.68273078e+00	 2.28853925e+01 7.34041248e-02 2.74248072e-02 2.68273078e+00
 3.21649913e+01 1.10206594e+00 4.54552923e-01 2.67788553e+00	 3.21649913e+01 8.22671354e-02 1.35699188e-02 2.67788553e+00
 4.14502795e+01 1.36047580e+00 4.10765121e-01 2.66750908e+00	 4.14502795e+01 7.88901329e-02 1.82169011e-02 2.66750908e+00
 5.07337443e+01 1.58959344e+00 3.43256197e-01 2.67348872e+00	 5.07337443e+01 8.22678694e-02 1.27131354e-02 2.67348872e+00
 5.99070056e+01 1.81019348e+00 2.63101582e-01 2.63825749e+00	 5.99070056e+01 8.14333364e-02 1.48282307e-02 2.63825749e+00
 6.91206599e+01 2.02523840e+00 2.16539706e-01 2.66617391e+00	 6.91206599e+01 9.06621806e-02 9.44701367e-03 2.66617391e+00
 7.85731355e+01 2.19890328e+00 1.48209155e-01 2.64606446e+00	 7.85731355e+01 9.50873349e-02 4.83252808e-03 2.64606446e+00
 8.79450036e+01 2.43402997e+00 8.30491425e-02 2.35022783e+00	 8.79450036e+01 1.07824348e-01 6.05517945e-03 2.35022783e+00
