 2.14651642e+00 0.00000000e+00 1.43592698e+00 1.11173550e+00	 2.14651642e+00 0.00000000e+00 2.24821406e+00 1.11173550e+00
 6.91423723e+00 6.76371201e-01 4.73821752e-01 1.38539880e+00	 6.91423723e+00 3.94643882e-01 7.22411766e-01 1.38539880e+00
 1.17040605e+01 2.24673486e+00 5.23359195e-01 1.35687968e+00	 1.17040605e+01 1.77418064e+00 4.67426758e-01 1.35687968e+00
 1.65126498e+01 4.16974221e+00 6.25128308e-01 1.41338232e+00	 1.65126498e+01 3.40355017e+00 5.24808016e-01 1.41338232e+00
 2.13061399e+01 6.55645682e+00 8.68052589e-01 1.35334275e+00	 2.13061399e+01 5.36404823e+00 6.63660797e-01 1.35334275e+00
 2.59934223e+01 8.79511690e+00 9.11845149e-01 1.38175411e+00	 2.59934223e+01 7.38324202e+00 6.14667954e-01 1.38175411e+00
 3.08098741e+01 1.09262121e+01 1.22337008e+00 1.40779046e+00	 3.08098741e+01 9.46473564e+00 7.03040303e-01 1.40779046e+00
 3.56207290e+01 1.35590978e+01 1.53840491e+00 1.39360727e+00	 3.56207290e+01 1.27884120e+01 1.33969307e+00 1.39360727e+00
 4.03968363e+01 1.65416544e+01 1.25961597e+00 1.36249274e+00	 4.03968363e+01 1.56716340e+01 6.90381833e-01 1.36249274e+00
 4.48806071e+01 1.83008849e+01 7.76819908e-01 1.25939143e+00	 4.48806071e+01 1.76645604e+01 5.67429190e-01 1.25939143e+00
