 -5.00000000e-01 0.00000000e+00 0.00000000e+00
 -4.89898990e-01 2.80399085e-04 -1.70108569e-04
 -4.79797980e-01 5.19352819e-04 -1.84554315e-04
 -4.69696970e-01 7.60036688e-04 -1.35581400e-04
 -4.59595960e-01 9.99350678e-04 -3.31591024e-05
 -4.49494949e-01 1.23215550e-03 1.18081575e-04
 -4.39393939e-01 1.45577929e-03 3.15090264e-04
 -4.29292929e-01 1.66698160e-03 5.55468749e-04
 -4.19191919e-01 1.86218590e-03 8.37711082e-04
 -4.09090909e-01 2.03916595e-03 1.16027144e-03
 -3.98989899e-01 2.19571377e-03 1.52279161e-03
 -3.88888889e-01 2.32951315e-03 1.92328994e-03
 -3.78787879e-01 2.43864649e-03 2.36251743e-03
 -3.68686869e-01 2.52098123e-03 2.83984738e-03
 -3.58585859e-01 2.57504794e-03 3.35535557e-03
 -3.48484848e-01 2.59810846e-03 3.90979260e-03
 -3.38383838e-01 2.58836027e-03 4.50386983e-03
 -3.28282828e-01 2.54352174e-03 5.13815745e-03
 -3.18181818e-01 2.45951898e-03 5.81458646e-03
 -3.08080808e-01 2.33502251e-03 6.53463321e-03
 -2.97979798e-01 2.16390317e-03 7.29504258e-03
 -2.87878788e-01 1.94520752e-03 8.10756845e-03
 -2.77777778e-01 1.67445641e-03 8.97590491e-03
 -2.67676768e-01 1.34290315e-03 9.89151263e-03
 -2.57575758e-01 9.45614065e-04 1.08628508e-02
 -2.47474747e-01 4.75161914e-04 1.18924530e-02
 -2.37373737e-01 -7.77951947e-05 1.29842088e-02
 -2.27272727e-01 -7.24180790e-04 1.41410149e-02
 -2.17171717e-01 -1.47497133e-03 1.53654058e-02
 -2.07070707e-01 -2.34666276e-03 1.66606417e-02
 -1.96969697e-01 -3.35541417e-03 1.80287163e-02
 -1.86868687e-01 -4.52174347e-03 1.94708201e-02
 -1.76767677e-01 -5.87146736e-03 2.09865686e-02
 -1.66666667e-01 -7.42890092e-03 2.25645018e-02
 -1.56565657e-01 -9.23523232e-03 2.42187691e-02
 -1.46464646e-01 -1.13250274e-02 2.59180528e-02
 -1.36363636e-01 -1.37446625e-02 2.76482166e-02
 -1.26262626e-01 -1.65463344e-02 2.93785737e-02
 -1.16161616e-01 -1.97884672e-02 3.10646127e-02
 -1.06060606e-01 -2.35340719e-02 3.26429690e-02
 -9.59595960e-02 -2.78420324e-02 3.40192058e-02
 -8.58585859e-02 -3.27690896e-02 3.50735725e-02
