 2.73969184e+00 0.00000000e+00 6.33939918e-01 1.80113575e+00	 2.73969184e+00 0.00000000e+00 5.59016315e-01 1.80113575e+00
 1.05096132e+01 -1.04560744e+00 5.90764387e-01 2.08075510e+00	 1.05096132e+01 -1.76725374e+00 7.36533807e-01 2.08075510e+00
 1.77412262e+01 -2.03582803e+00 2.80354000e-01 2.05059920e+00	 1.77412262e+01 -3.73531523e+00 9.34235586e-01 2.05059920e+00
 2.48578275e+01 -2.73555412e+00 2.00456672e-01 2.05614887e+00	 2.48578275e+01 -5.85716207e+00 9.41587253e-01 2.05614887e+00
 3.19951376e+01 -3.17474070e+00 2.79780478e-01 2.05603183e+00	 3.19951376e+01 -7.91967458e+00 8.97566066e-01 2.05603183e+00
 3.90932018e+01 -3.27049335e+00 3.24862847e-01 2.08116094e+00	 3.90932018e+01 -9.95052958e+00 8.49142433e-01 2.08116094e+00
 4.62103111e+01 -3.09335767e+00 3.05175103e-01 2.06068748e+00	 4.62103111e+01 -1.19224606e+01 7.42914111e-01 2.06068748e+00
 5.33901486e+01 -2.70696783e+00 2.40482029e-01 2.09433549e+00	 5.33901486e+01 -1.36172632e+01 5.22563662e-01 2.09433549e+00
 6.05691337e+01 -2.07452341e+00 2.37764133e-01 2.04009581e+00	 6.05691337e+01 -1.50846658e+01 4.37613126e-01 2.04009581e+00
 6.74944558e+01 -1.27157207e+00 2.60425624e-01 1.98654596e+00	 6.74944558e+01 -1.64647419e+01 3.78047052e-01 1.98654596e+00
