   0.0000000e+00  -6.4230084e-05   1.4931242e-03
   2.1052632e-02   7.7670354e-03   2.2449136e-03
   4.2105263e-02   2.0139838e-02   3.7475159e-03
   6.3157895e-02   4.2565361e-02   7.4675739e-03
   8.4210526e-02   9.5103918e-02   2.1432531e-02
   1.0526316e-01   3.1220225e-01   1.9682448e-01
   1.1100000e-01   3.1962616e-01   5.9872918e-01
   1.2000000e-01  -4.2951017e-01   3.1703295e-01
   1.2631579e-01  -3.1083037e-01   1.0893046e-01
   1.4736842e-01  -1.5064741e-01   1.6961645e-02
   1.6842105e-01  -1.0684769e-01   6.4762729e-03
   1.8947368e-01  -8.6971380e-02   3.3836375e-03
   2.1052632e-01  -7.5665878e-02   2.0731965e-03
   2.3157895e-01  -6.8378973e-02   1.3989324e-03
   2.5263158e-01  -6.3293684e-02   1.0070579e-03
   2.7368421e-01  -5.9544014e-02   7.5939992e-04
   2.9473684e-01  -5.6665199e-02   5.9299891e-04
   3.1578947e-01  -5.4385584e-02   4.7584263e-04
   3.3684211e-01  -5.2535807e-02   3.9025862e-04
   3.5789474e-01  -5.1004814e-02   3.2584450e-04
   3.7894737e-01  -4.9716762e-02   2.7615380e-04
   4.0000000e-01  -4.8618091e-02   2.3701909e-04
